,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Technical Proposals and RFPs,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Industry 4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21160551944072e-136,0.0,6.379437213693058e-154,0.0
International Relations,0.0,0.0,0.0,0.0,0.10305936555191673,0.0,2.6110254175785302e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethics in Psychology,0.00011747571298553145,0.0,0.0,0.0,0.0,0.0,3.4591999210303452,0.0,0.0,0.0,0.0,0.0014024814901426891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System Administration,0.0,0.0,0.0,0.0,0.0,2.4523373710225513,0.0,0.0,0.0,0.5499106108834367,0.0,0.0,0.0,0.0,0.0,0.0,0.4137431439041807,0.0,0.0,0.0
Cloud Infrastructure as a Service (IaaS),0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cultural Awareness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786254631730825e-139,0.0,0.0,2.4487353709350483e-142
Combinatorics,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mathematical Software Tools (e.g., MATLAB, R)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367261368813779,0.0,0.0,0.0,0.5120023436027916,0.0,0.0,0.0,0.0,0.0,0.00890287305886977,0.0
Discrete Probability,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterprise Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6547226211869841e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407152569816592e-156,0.0,0.0,0.0
Venture Capital and Funding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
Startup Ecosystem Understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Programming Logic and Flow Control,0.0,0.3418106238714822,0.0,0.0,0.0,0.0,0.0,0.0,0.0030186371558901504,0.0,0.036930186572467265,0.0,0.0,0.0,0.0,0.00468885664241615,0.0,0.0,0.0,0.0
Database Administration and Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,4.666101299979737e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051392899694191,0.0
Human Rights Education,0.0,0.0,1.5277086676940406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Test-Driven Development (TDD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Binary Search Trees (BSTs),0.0,0.6818467468905638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regression Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928504829162835,0.0,0.0,0.0,0.009988404692170202,0.0,0.0,0.0,0.0,0.0,0.0
Infrastructure as a Service,0.0,0.0,0.0,0.0,0.0,0.32784266736590467,0.0,0.0,0.0,0.0,0.0,3.1375121544979618e-46,0.0,0.0,0.0,0.0,0.02125856773644456,0.0,0.0,0.0
Movement Analysis and Biomechanics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
"Software Development Tools (e.g., UML tools, CASE tools)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Persuasion Theory,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Project Implementation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004052452225625539,0.4374352365556808,0.031873855496098856,0.0,0.0,0.3234184189696493,0.001690709365825443,0.005771632013983466,0.0,0.0,0.0,0.0
Document Version Control and Collaboration Tools,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Migration and Integration,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World Literature,0.0,0.0,0.0,0.0,0.11627726055372062,0.0,0.0,0.0,0.0,0.0,0.0,0.2413044355494263,0.2516827281968648,0.0,0.0,0.0,0.0,0.07963425642496735,0.0,0.0
Quantitative Research Reporting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Warehousing,0.0,0.0,0.0,0.0,0.0,0.0,4.666101299979737e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051392899694191,0.0
Technology and Economic Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Athlete Development and Long-Term Training Plans,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CSS Frameworks (e.g., Bootstrap, Tailwind CSS)",0.0,0.0,3.2427332132595694e-80,0.0004798552560621663,0.0,0.0,0.0,0.0,0.0,0.017630407633562963,0.007062497131664398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200916117077674e-05
Agile Development Practices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9675246629143586,0.0,0.0,0.0,0.0,0.0
"Legal Aspects of Business (e.g., business structure, IP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtualization and Containerization,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Documentation Standards and Best Practices,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Trail Maintenance and Outdoor Stewardship,0.0,0.0,0.0,0.0,0.009338951742673539,0.0,0.0,1.833732077599565e-148,0.0,0.0,1.1584172035402052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Version Control and Configuration Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Network Protocols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3967808052753554,0.0,0.0,0.0
Software Design Patterns and UML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
LINQ,0.0,0.0010123491495198425,4.219621817804555e-84,6.244139044285064e-08,0.0,0.0,0.0,0.0,0.0,0.16432569381887616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1652429150223685e-09
Survey Design and Questionnaire Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
Static and Dynamic Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Network Automation Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Cognitive Load and Memory in Design,0.0,0.0,0.0,0.0,0.0,0.0,0.8222914149859736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethical Decision Making in Technology,0.0,0.0,0.0,0.0,0.0,0.0,4.0446978768518655e-52,4.157208204700531e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application Architecture,0.0,0.004414093380091832,0.0,0.0,0.0,0.0,0.0,0.0,0.0008941616375956738,0.4216247645388269,0.00959065065772925,0.0,0.0,0.0,0.032385525999774074,0.0014904672492303576,0.0,0.0,0.0,0.0
Advanced Integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0446246946409664e-177,0.0,0.0,1.7637668256186563e-180
Network Performance Analysis and Optimization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Object-Oriented Analysis and Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Relational Database Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.665414628368547,0.0
Developmental Psychology,7.831714199035402e-05,0.0,0.0,0.0,0.0,0.0,2.306133280686897,0.0,0.0,0.0,0.0,0.0009349876600951257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Internal Audits and IT Compliance,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foreign Policy and Global Diplomacy,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVC Architecture,0.0,0.0015185237242797641,6.329432726706827e-84,9.366208566427585e-08,0.0,0.0,0.0,0.0,0.0,0.24648854072831422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24786437253355e-09
Nonverbal Communication,0.4503825483264762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954332360165476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Policy Analysis,0.00010322139115460906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8922434322077832,0.0,0.0,0.0,0.0
Software Testing and Debugging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Risk Management in IT Finance,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Systems Thinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609985187034365,0.0,0.0,0.0,0.0,0.0
Data Protection and Privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Financial Literacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1745319258660702e-142,0.0,0.0,0.0,0.0,0.0,0.0
Information Security Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Database Modeling and Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Binary and Data Representation,0.0,0.0,0.0,0.0,0.0,2.148500923550238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motivational Strategies for Clients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Inclusive Pedagogy,0.00015483208673191346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8383651483116745,0.0,0.0,0.0,0.0
Quantitative Research Methods,0.45038422852013354,0.0,0.0,2.0942214780562773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182670171985827e-12,0.0,0.0
Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9933004704201264e-45,0.0,0.0,0.0,0.0,0.8588227368985851,0.0,0.0,0.0
Leadership in Startups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Political History of the Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23263852632459334,0.0,0.03721672662085233,0.0,0.0
Incident Response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Distributed Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095135196834003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Code Optimization,0.0,0.2278737492476548,0.0,0.0,0.0,0.0,0.0,0.0,0.0020124247705934338,0.0,0.024620124381644848,0.0,0.0,0.0,0.0,0.003125904428277434,0.0,0.0,0.0,0.0
Aesthetic Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1833009006577468,0.0,0.0
Code Refactoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Literary Devices in Rizal's Writings,0.0,0.0,0.0,0.0,0.001736513531211177,0.0,0.0,0.0,0.0,0.0,0.0,0.005535956558460592,0.013190305739623919,0.0,0.0,0.047947794141245406,0.0,0.05658244732262675,0.0,0.0
Science Communication and Public Engagement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Functional and Non-Functional Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
API Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095135196834003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports Coaching,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Software Design Patterns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Relations and Functions,0.0,0.0,0.0,0.0,0.0,4.185165028614665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.45687759353664015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quality Assurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002547076031700116,0.8304685195180832,0.026209744372408066,0.0,0.0,0.3334302231813973,0.0,0.004030374021057581,0.0,0.0,0.0,0.0
"Software Applications (Word Processing, Spreadsheets, Presentations)",0.0,0.0,0.0,0.0,0.0,3.2227513853253575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear Equations and Inequalities,0.00017555361978613813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1077448745458462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Risk-Based Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Time Management and Productivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159822504823429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Functions and Graphs,0.00017555361978613813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1077448745458462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports Psychology and Mental Toughness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Data Link Layer and Physical Layer Protocols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9823583428840617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Hardware,0.0,0.0,0.0,0.0,0.0,2.148500923550238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sampling Methods and Techniques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiovascular Fitness Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Routing and Switching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Presentation Techniques,3.016551990004848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525543044626303,0.0,0.0,0.0,0.0,0.0,0.0
English Language Proficiency,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Platform Integration and Scalability,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Historiography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23263852632459334,0.0,0.03721672662085233,0.0,0.0
File Management and Organization,0.0,0.0,0.0,0.0,0.0,3.2227513853253575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Listening and Empathy,0.00011747571298553145,0.0,0.0,0.0,0.0,0.0,3.4591999210303452,0.0,0.0,0.0,0.0,0.0014024814901426891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Lake Architecture,0.0,0.0,0.0,0.0,0.0,0.0,4.666101299979737e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051392899694191,0.0
IT Ethics,0.0,0.0,0.0,0.0,0.0,0.0,4.0446978768518655e-52,4.157208204700531e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usability Testing,0.0,0.0,0.0,0.0,0.0,0.0,1.2334371224789602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System Integration and Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Nutrition for Fitness and Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Time Management and Pacing for Instruction,0.00011703574652409208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0718299163638974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Error Handling and Debugging,0.0,0.0,3.6602397173345644e-81,5.4163730140627405e-05,0.0,0.0,0.0,0.0,0.005173243840824012,0.13599847681768987,0.03600282073991868,0.0,0.0,0.015338202278048664,0.019045331697343272,0.0070931190069192865,0.0,0.0,0.0,3.613038796162442e-06
Bayesian Statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Continuous Learning and Adaptability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0420382956837414e-61,0.0,0.0,0.0,0.0
Legal Research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0116217105223172e-176,5.116742755860115e-157,0.0,0.0,0.0
Solution Implementation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.718807829159765e-176,0.0,0.0,0.0,0.0,0.0
API Development and Integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001320675970111,0.0,0.0,0.0,0.0,0.11687106158516378,0.0,0.0,0.0,0.2620593193310064,0.0
Humanistic Psychology,7.831714199035402e-05,0.0,0.0,0.0,0.0,0.0,2.306133280686897,0.0,0.0,0.0,0.0,0.0009349876600951257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research Proposal Writing,0.0,0.0,0.0,1.3961476568238906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Browser Developer Tools,0.0,0.0,3.2427332132595694e-80,0.0004798552560621663,0.0,0.0,0.0,0.0,0.0,0.017630407633562963,0.007062497131664398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200916117077674e-05
"Cloud Service Models (e.g., IaaS, PaaS, SaaS)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095135196834003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Sociological Analysis,0.0,0.0,0.0,0.0,0.10305936555191673,0.0,2.6110254175785302e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priority Queues and Heaps,0.0,0.6818467468905638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volunteerism and Service Learning,0.0,0.0,2.2915630015410606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Writing and Publishing,0.0,0.0,0.0,1.3961476568238906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Listening and Feedback Skills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8431773874920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Embedded Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5052728080488812e-141
Cloud Security,0.0,0.0,0.0,0.0,0.0,0.20652263389035352,0.0,0.0,0.0,0.0,0.0,3.5380506014631845e-45,0.0,0.0,0.0,0.0,0.5868891867174312,0.0,0.0,0.0
"Transmission Media (e.g., Fiber Optic, Copper Cables)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Language Teaching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679381947596242e-139,0.0,0.0,3.6731030564025724e-142
"Modeling Real-World Problems (e.g., economics, biology)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367261368813779,0.0,0.0,0.0,0.5120023436027916,0.0,0.0,0.0,0.0,0.0,0.00890287305886977,0.0
Public Art and Urban Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7888672671051646,0.0,0.0
"Advanced Data Structures (e.g., Red-Black Trees, AVL Trees)",0.0,0.6818467468905638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fitness Program Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2295779545592235e-19,0.0,0.0,0.0,4.943140153767458e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.199766172345376e-16,0.0
